DOC1 1,1:0.0668277 2,2:0.0534454 3,3:0.066428 4,4:0.0922613 5,5:0.128546 6,6:0.0711049 7,7:0.0800296 8,8:0.0541885 9,9:0.0774433 10,10:0.0753867 11,11:0.0583963 12,12:0.0555881 13,13:0.125985 14,14:0.112784 15,15:0.139221 16,16:0.0971628
DOC2 1,1:0.103326 2,2:0.0745711 3,3:0.0673136 4,4:0.0984164 5,5:0.0754729 6,6:0.0622238 7,7:0.0660975 8,8:0.116032 9,9:0.0642955 10,10:0.107439 11,11:0.074173 12,12:0.102958 13,13:0.0987146 14,14:0.0948096 15,15:0.125081 16,16:0.0503343
DOC3 1,1:0.0650365 2,2:0.0592471 3,3:0.0367919 4,4:0.0802825 5,5:0.0573876 6,6:0.128341 7,7:0.0592094 8,8:0.0694116 9,9:0.0573049 10,10:0.08313 11,11:0.0766279 12,12:0.0537538 13,13:0.19804 14,14:0.112518 15,15:0.0410604 16,16:0.0627415
DOC4 1,1:0.0538013 2,2:0.0553575 3,3:0.0633041 4,4:0.0694837 5,5:0.143222 6,6:0.0568594 7,7:0.0738504 8,8:0.0710937 9,9:0.075713 10,10:0.0604121 11,11:0.0573261 12,12:0.0822419 13,13:0.0954257 14,14:0.0508493 15,15:0.0634277 16,16:0.0569955
DOC5 1,1:0.0374206 2,2:0.0700001 3,3:0.0440879 4,4:0.070882 5,5:0.138574 6,6:0.0690048 7,7:0.115213 8,8:0.0334309 9,9:0.074472 10,10:0.142478 11,11:0.0669278 12,12:0.152008 13,13:0.0830294 14,14:0.0719884 15,15:0.0848312 16,16:0.126547
DOC6 1,1:0.101668 2,2:0.117683 3,3:0.0962864 4,4:0.113663 5,5:0.12756 6,6:0.120656 7,7:0.048221 8,8:0.0787245 9,9:0.0878581 10,10:0.0571905 11,11:0.131409 12,12:0.0726374 13,13:0.0719329 14,14:0.102704 15,15:0.0442064 16,16:0.0986543
DOC7 1,1:0.025018 2,2:0.157953 3,3:0.0495488 4,4:0.066673 5,5:0.0418858 6,6:0.0540569 7,7:0.104832 8,8:0.0523345 9,9:0.101083 10,10:0.0708774 11,11:0.134254 12,12:0.0751432 13,13:0.107109 14,14:0.113153 15,15:0.0689832 16,16:0.152056
DOC8 1,1:0.0801581 2,2:0.129871 3,3:0.0738522 4,4:0.0878501 5,5:0.0897186 6,6:0.0780302 7,7:0.0943547 8,8:0.0603348 9,9:0.0599373 10,10:0.038182 11,11:0.112315 12,12:0.0774436 13,13:0.096993 14,14:0.165824 15,15:0.100472 16,16:0.0806698
DOC9 1,1:0.121804 2,2:0.0584953 3,3:0.0862486 4,4:0.0482256 5,5:0.109762 6,6:0.0780372 7,7:0.0966955 8,8:0.0684835 9,9:0.0742184 10,10:0.0911096 11,11:0.0701251 12,12:0.0891203 13,13:0.0476881 14,14:0.0647846 15,15:0.0546187 16,16:0.0901085
DOC10 1,1:0.0302528 2,2:0.0756898 3,3:0.114792 4,4:0.08866 5,5:0.113799 6,6:0.0423469 7,7:0.0933992 8,8:0.0725789 9,9:0.0898701 10,10:0.066941 11,11:0.0880136 12,12:0.0576764 13,13:0.0791275 14,14:0.137385 15,15:0.113701 16,16:0.0802381
DOC11 1,1:0.0447989 2,2:0.107982 3,3:0.155313 4,4:0.0591243 5,5:0.12327 6,6:0.0525169 7,7:0.0749319 8,8:0.101358 9,9:0.128173 10,10:0.0615939 11,11:0.0759409 12,12:0.0473337 13,13:0.102078 14,14:0.0730743 15,15:0.044669 16,16:0.10821
