DOC1 1,1:0.0699915
DOC2 1,1:0.0981111
DOC3 1,1:0.081708
DOC4 1,1:0.0944855
DOC5 1,1:0.0827322
DOC6 1,1:0.0859431
DOC7 1,1:0.0827529
DOC8 1,1:0.0871052
DOC9 1,1:0.0853773
DOC10 1,1:0.0794974
DOC11 1,1:0.0747971
DOC12 1,1:0.0732364
DOC13 1,1:0.0702929
DOC14 1,1:0.0777009
DOC15 1,1:0.0713739
DOC16 1,1:0.0740937
DOC17 1,1:0.0856352
DOC18 1,1:0.0833443
DOC19 1,1:0.0827843
DOC20 1,1:0.0869197
DOC21 1,1:0.0779495
DOC22 1,1:0.0786739
DOC23 1,1:0.0778633
DOC24 1,1:0.0759353
DOC25 1,1:0.0927077
DOC26 1,1:0.0943877
DOC27 1,1:0.076793
DOC28 1,1:0.0704349
DOC29 1,1:0.0842067
DOC30 1,1:0.0715683
DOC31 1,1:0.0908533
DOC32 1,1:0.0803072
DOC33 1,1:0.0793228
DOC34 1,1:0.0723225
DOC35 1,1:0.0691936
DOC36 1,1:0.0863925
DOC37 1,1:0.0860597
DOC38 1,1:0.0735662
DOC39 1,1:0.0790104
DOC40 1,1:0.0845948
DOC41 1,1:0.0849589
DOC42 1,1:0.070895
DOC43 1,1:0.0749062
DOC44 1,1:0.0737849
DOC45 1,1:0.0811563
DOC46 1,1:0.079603
DOC47 1,1:0.0874067
DOC48 1,1:0.0767855
DOC49 1,1:0.0711431
DOC50 1,1:0.0886981
DOC51 1,1:0.083909
DOC52 1,1:0.0868341
DOC53 1,1:0.079207
DOC54 1,1:0.0825826
DOC55 1,1:0.0886209
DOC56 1,1:0.0811151
DOC57 1,1:0.0698857
DOC58 1,1:0.0802077
DOC59 1,1:0.0783494
DOC60 1,1:0.0790924
DOC61 1,1:0.0793475
DOC62 1,1:0.0891205
DOC63 1,1:0.0868164
DOC64 1,1:0.0862314
DOC65 1,1:0.0774972
DOC66 1,1:0.0837245
DOC67 1,1:0.0831512
DOC68 1,1:0.0803956
DOC69 1,1:0.0896639
DOC70 1,1:0.0734246
DOC71 1,1:0.0775083
DOC72 1,1:0.0692894
DOC73 1,1:0.087836
DOC74 1,1:0.0813303
DOC75 1,1:0.0797231
