DOC1 1:-1.98797 2:-2.03725 3:-1.32024 4:-0.881888 5:-1.06354 6:-1.57739 7:-1.03149 8:-1.16044 9:-0.965939 10:-1.80057 11:-1.22454 12:-1.16877 13:-1.31041 14:-1.44182 15:-1.68251 16:-1.04897
DOC2 1:-2.07975 2:-1.96849 3:-1.01655 4:-1.07089 5:-1.04414 6:-1.65062 7:-1.15348 8:-1.22493 9:-0.976362 10:-1.68085 11:-0.976386 12:-1.31919 13:-1.36173 14:-1.47773 15:-1.60518 16:-1.28455
DOC3 1:-2.05816 2:-1.86154 3:-1.1231 4:-1.10633 5:-1.16216 6:-1.69115 7:-1.34569 8:-1.01215 9:-1.02751 10:-1.72388 11:-0.938979 12:-1.36733 13:-1.43658 14:-1.27734 15:-1.89687 16:-1.05758
DOC4 1:-1.80339 2:-2.04428 3:-1.29125 4:-0.977625 5:-1.05487 6:-1.48423 7:-1.24656 8:-1.13407 9:-1.03472 10:-1.8211 11:-1.17679 12:-1.24136 13:-1.48065 14:-1.57196 15:-1.57008 16:-1.05692
DOC5 1:-1.82384 2:-1.72128 3:-1.43034 4:-0.899572 5:-1.14837 6:-1.35449 7:-1.47291 8:-1.34091 9:-1.02463 10:-1.60034 11:-1.09317 12:-1.23631 13:-1.4193 14:-1.24521 15:-1.59583 16:-1.25899
DOC6 1:-1.93241 2:-1.85543 3:-1.15314 4:-0.90161 5:-1.06522 6:-1.63518 7:-1.51583 8:-1.18691 9:-0.833561 10:-1.71475 11:-1.22714 12:-1.2798 13:-1.29652 14:-1.36982 15:-1.5971 16:-1.22755
DOC7 1:-2.01169 2:-2.01369 3:-1.16002 4:-0.94447 5:-1.17354 6:-1.5426 7:-1.35023 8:-1.32194 9:-1.00793 10:-1.80318 11:-1.09922 12:-1.37677 13:-1.32803 14:-1.3881 15:-1.71348 16:-1.24491
DOC8 1:-1.84035 2:-1.79237 3:-0.997715 4:-0.951774 5:-1.06968 6:-1.69385 7:-1.26167 8:-1.29868 9:-1.13262 10:-1.70062 11:-0.930686 12:-1.26108 13:-1.57564 14:-1.37792 15:-1.74171 16:-1.20008
DOC9 1:-1.93762 2:-1.90505 3:-1.04082 4:-0.995183 5:-1.16238 6:-1.56001 7:-1.28268 8:-1.11334 9:-1.06782 10:-1.582 11:-1.27374 12:-1.39385 13:-1.4777 14:-1.46255 15:-1.61286 16:-1.19887
DOC10 1:-1.90146 2:-1.88015 3:-1.18922 4:-1.11825 5:-1.14912 6:-1.55543 7:-1.30667 8:-1.10492 9:-1.1803 10:-1.74593 11:-1.10737 12:-1.48268 13:-1.46373 14:-1.40749 15:-1.66447 16:-1.26074
DOC11 1:-1.96444 2:-1.97378 3:-1.10477 4:-0.838661 5:-0.929669 6:-1.53152 7:-1.28816 8:-1.30564 9:-1.11873 10:-1.67076 11:-1.12016 12:-1.36454 13:-1.593 14:-1.28296 15:-1.63268 16:-1.09215
DOC12 1:-1.90249 2:-1.95461 3:-1.12207 4:-1.21454 5:-0.978034 6:-1.40299 7:-1.35134 8:-1.24792 9:-1.209 10:-1.68757 11:-1.16861 12:-1.4099 13:-1.46212 14:-1.51506 15:-1.69612 16:-1.45603
DOC13 1:-1.97046 2:-1.86085 3:-1.15704 4:-1.09476 5:-1.2264 6:-1.55233 7:-1.31144 8:-1.19529 9:-1.04517 10:-1.83851 11:-1.0307 12:-1.22511 13:-1.52373 14:-1.4967 15:-1.65206 16:-1.05755
DOC14 1:-1.88228 2:-1.827 3:-0.99506 4:-1.03364 5:-1.02293 6:-1.51892 7:-1.41916 8:-0.915374 9:-1.17595 10:-1.7072 11:-1.13592 12:-1.30164 13:-1.57483 14:-1.53184 15:-1.69297 16:-1.13556
DOC15 1:-1.9315 2:-1.91774 3:-1.15573 4:-0.891237 5:-1.15602 6:-1.54027 7:-1.38711 8:-1.26068 9:-1.0421 10:-1.67747 11:-1.09872 12:-1.0988 13:-1.4043 14:-1.65815 15:-1.54948 16:-1.1942
DOC16 1:-1.85595 2:-1.86716 3:-1.19871 4:-1.01142 5:-1.12754 6:-1.62872 7:-1.19821 8:-1.21714 9:-1.12144 10:-1.6456 11:-1.1547 12:-1.34992 13:-1.54186 14:-1.41714 15:-1.72414 16:-1.14612
DOC17 1:-1.88234 2:-1.94901 3:-1.17461 4:-1.06106 5:-1.08822 6:-1.58613 7:-1.18129 8:-0.993654 9:-1.11803 10:-1.7993 11:-1.15921 12:-1.21492 13:-1.49473 14:-1.43428 15:-1.58473 16:-1.29462
DOC18 1:-1.88991 2:-1.98355 3:-1.01404 4:-1.04713 5:-1.16728 6:-1.62855 7:-1.24137 8:-1.13275 9:-1.13537 10:-1.62975 11:-1.17973 12:-1.3204 13:-1.39067 14:-1.38113 15:-1.499 16:-1.19662
DOC19 1:-1.92698 2:-1.94904 3:-1.26316 4:-0.991786 5:-1.19946 6:-1.51081 7:-1.27473 8:-0.971554 9:-1.25876 10:-1.67529 11:-1.15553 12:-1.07516 13:-1.38537 14:-1.34757 15:-1.63723 16:-1.23407
DOC20 1:-1.95619 2:-1.87528 3:-1.16135 4:-0.991234 5:-1.19403 6:-1.58103 7:-1.27324 8:-1.09944 9:-1.16539 10:-1.54329 11:-1.07355 12:-1.26407 13:-1.42731 14:-1.41632 15:-1.59695 16:-1.31145
DOC21 1:-1.75388 2:-1.97031 3:-1.25171 4:-1.09619 5:-1.14071 6:-1.4751 7:-1.2634 8:-1.19405 9:-0.982129 10:-1.66759 11:-1.11106 12:-1.15423 13:-1.716 14:-1.55155 15:-1.5667 16:-1.46451
DOC22 1:-2.00657 2:-1.88173 3:-1.17657 4:-1.08593 5:-1.08564 6:-1.61344 7:-1.2362 8:-1.05145 9:-0.962389 10:-1.86616 11:-1.24727 12:-1.28214 13:-1.22165 14:-1.49198 15:-1.58924 16:-1.09955
DOC23 1:-1.93432 2:-2.07177 3:-1.12245 4:-1.18371 5:-1.07597 6:-1.55653 7:-1.3439 8:-1.15522 9:-1.25729 10:-1.74438 11:-1.10333 12:-1.35132 13:-1.49339 14:-1.37656 15:-1.78767 16:-1.09895
DOC24 1:-1.9438 2:-1.84252 3:-1.19058 4:-0.936154 5:-1.25719 6:-1.68969 7:-1.25212 8:-1.29264 9:-1.25943 10:-1.86244 11:-1.01796 12:-1.43765 13:-1.4707 14:-1.36987 15:-1.67524 16:-1.23572
